RDC,RDC_NAME,RDC_LAT,RDC_LGT,CUSTOMER,QUANTITY,WEIGHT,CUSTOMER_LGT,CUSTOMER_LAT,CUSTOMER_NAME
311,石家庄市,38.045474,114.502461,351,53384616.23,398660.2861,112.549248,37.857014,太原市
311,石家庄市,38.045474,114.502461,954,1801339.645,13451.86365,106.285241,36.004561,固原市
311,石家庄市,38.045474,114.502461,411,124569327.2,930246.3354,121.618622,38.91459,大连市
311,石家庄市,38.045474,114.502461,359,12740843.71,95144.79559,111.003957,35.022778,运城市
311,石家庄市,38.045474,114.502461,371,330998169.2,2471794.95,113.665412,34.757975,郑州市
311,石家庄市,38.045474,114.502461,977,3067807.826,22909.46778,97.370785,37.374663,海西蒙古族藏族自治州
311,石家庄市,38.045474,114.502461,435,4451762.63,33244.42675,125.936501,41.721177,通化市
311,石家庄市,38.045474,114.502461,532,282425913.4,2109071.927,120.355173,36.082982,青岛市
311,石家庄市,38.045474,114.502461,393,10247331.41,76523.99434,115.041299,35.768234,濮阳市
311,石家庄市,38.045474,114.502461,349,3006088.241,22448.56446,112.433387,39.331261,朔州市
311,石家庄市,38.045474,114.502461,530,28856355.03,215490.5957,115.469381,35.246531,菏泽市
311,石家庄市,38.045474,114.502461,457,546942.5674,4084.402882,124.711526,52.335262,大兴安岭地区
311,石家庄市,38.045474,114.502461,932,3395367.219,25355.58299,104.626294,35.579578,定西市
311,石家庄市,38.045474,114.502461,350,4499177.59,33598.50744,112.733538,38.41769,忻州市
311,石家庄市,38.045474,114.502461,375,12303307.79,91877.40871,113.307718,33.735241,平顶山市
311,石家庄市,38.045474,114.502461,633,17135085.37,127959.673,119.461208,35.428588,日照市
311,石家庄市,38.045474,114.502461,314,11133464.1,83141.36726,117.939152,40.976204,承德市
311,石家庄市,38.045474,114.502461,355,7330915.115,54745.07309,113.113556,36.191112,长治市
311,石家庄市,38.045474,114.502461,474,2337304.555,17454.28868,113.114543,41.034126,乌兰察布市
311,石家庄市,38.045474,114.502461,374,16696838.39,124686.9761,113.826063,34.022956,许昌市
311,石家庄市,38.045474,114.502461,372,17202319.58,128461.7579,114.352482,36.103442,安阳市
311,石家庄市,38.045474,114.502461,535,113932857.9,850816.3759,121.391382,37.539297,烟台市
311,石家庄市,38.045474,114.502461,313,18969765.6,141660.5141,114.884091,40.811901,张家口市
311,石家庄市,38.045474,114.502461,534,30909092.17,230819.8204,116.307428,37.453968,德州市
311,石家庄市,38.045474,114.502461,24,138637346.8,1035302.082,123.429096,41.796767,沈阳市/铁岭市/抚顺市
311,石家庄市,38.045474,114.502461,543,22643392.39,169094.056,118.016974,37.383542,滨州市
311,石家庄市,38.045474,114.502461,451,103703615.6,774427.4661,126.642464,45.756967,哈尔滨市
311,石家庄市,38.045474,114.502461,316,125323811.6,935880.5987,116.704441,39.523927,廊坊市
311,石家庄市,38.045474,114.502461,335,18752024.72,140034.4906,119.586579,39.942531,秦皇岛市
28,成都市/资阳市/眉山市,30.659462,104.065735,870,3572893.982,26681.29955,103.717216,27.336999,昭通市
